,,Birthplace,Other Cities,County,education,adult residence,place of burial,Lifespan,,Colors,,,,
"Bragg, Rick",Rick Bragg,Piedmont,"Possum Trot, Jacksonville, Anniston, Birmingham,  Fairhope, and Tuscaloosa ","Calhoun, Jefferson, Baldwin, and Tuscaloosa ","Jacksonville, Calhoun"," Jacksonville, Anniston, Birmingham, Fairhope, and Tuscaloosa ",,1959-PRESENT,,,,,,
"Brown, Joe David",Joe David Brown,Birmingham,Tuscaloosa and Dothan," Jefferson, Tuscaloosa, and Houston "," Tuscaloosa, Tuscaloosa ",Birmingham and Dothan,,1915-1976,,,,,,
"Brown, Mary Ward",Mary Ward Brown,Hamburg,"Marion, Auburn, and Tuscaloosa"," Perry, Lee, and Tuscaloosa "," Marion, Perry; Tuscaloosa, Tuscaloosa ",Hamburg and Auburn,"Marion, Perry",1917-2013,,,,,,
"Brown, Virginia Pounds",Virginia Pounds Brown,Birmingham,#Null, Jefferson ,#Null,Birmingham,"Birmingham, Jefferson",1916-2014,,,,,,
"Buffett, Jimmy",Jimmy Buffett,#Null,Mobile and Auburn,Mobile and Lee ," Auburn, Lee ",#Null,,1946-2023,,,,,,
"Butler, Darren J. ",Darren J. Butler,Decatur,#Null,Morgan,#Null,#Null,,1967-PRESENT,,,,,,
"Butterworth, W.E.",W.E. Butterworth,#Null,Fairhope,Baldwin ,,,"Daphne, Baldwin",1929-2019,,,,,,
"Capote, Truman",Truman Capote,#Null,Monroeville,Monroe,,#Null,,1924-1984,,,,,,
"Carmer, Carl",Carl Carmer,#Null,Tuscaloosa,Tuscaloosa,#Null,Tuscaloosa,,1893-1976,,,,,,
"Carr, Archie",Archie Carr,Mobile,#Null,Mobile,,,,1909-1987,,,,,,
"Carter, Forrest",Forrest Carter,Oxford,"Birmingham, Anniston, and Montgomery","Calhoun, Jefferson, and Montgomery ",,"Birmingham, Anniston, and  Montgomery "," Anniston, Calhoun ",1925-1979,,,,,,
"Cason, Clarence",Clarence Cason,Ragland,"Talladega, Tuscaloosa, and Birmingham","St. Clair County, Talladega, Tuscaloosa, and Jefferson ","Tuscaloosa, Tuscaloosa ",Tuscaloosa and Birmingham,"Tuscaloosa, Tuscaloosa ",1896-1935,,,,,,
"Childers, James Saxon",James Saxon Childers,Birmingham,#Null,Jefferson,#null,Birmingham,,1899-1965,,,,,,
"Childress, Mark",Mark Childress,Monroeville,"Tuscaloosa, Birmingham, and Magnolia Springs","Monroe,Tuscaloosa, Jefferson, and Baldwin "," Tuscaloosa, Tuscaloosa ",Birmingham and Magnolia Springs,,1957-PRESENT,,,,,,
"Clarke, John Henrik",John Henrik Clarke,Union Springs,#Null,Bullock,,,,1915-1998,,,,,,
"Clemens, Jeremiah",Jeremiah Clemens,Huntsville,Tuscaloosa ,"Madison, Franklin, and Tuscaloosa ","#null, Franklin County and Tuscaloosa, Tuscaloosa ",Huntsville,,1814-1865,,,,,,
"Cline Jr., C. Terry",C. Terry Cline Jr.,Birmingham,"Dothan, Mobile, and Fairhope","Jefferson, Houston, Mobile, and Baldwin ",," Dothan, Mobile, and Fairhope",,1935-2013,,,,,,
"Cobb, William",William Cobb,Eutaw,"Demopolis,Gilbertown,Livingston, and Montevallo"," Greene,Marengo, Choctaw, Sumter, and Shelby ","Livingston, Sumter ", Montevallo,,1937-2020,,,,,,
"Cocke, Zitella",Zitella Cocke,Marion,Mobile and Gadsden,"Perry, Mobile, and Etowah ","Marion, Perry ","Marion, Mobile, and Gadsden","Marion, Perry",1840-1929,,,,,,
"Cohen, Octavus Roy",Octavus Roy Cohen,#Null,Birmingham,Jefferson ,,Birmingham,,1891-1959,,,,,,
"Coleman, Lonnie",Lonnie Coleman,Montgomery ,Tuscaloosa,Montgomery and Tuscaloosa ,"Tuscaloosa, Tuscaloosa ",,,1920-1982,,,,,,
"Cook, Thomas H.",Thomas H. Cook,Fort Payne,#Null,DeKalb ,,,,1947-PRESENT,,,,,,
"Counselman, Mary Elizabeth",Mary Elizabeth Counselman,Birmingham,"Jefferson, Shelby, Tuscaloosa, and Etowah ","Birmingham,  Montevallo,Tuscaloosa, and Gadsden"," Montevallo, Shelby; Tuscaloosa, Tuscaloosa ",Birmingham and Gadsden,,1911-1994,,,,,,
"Covington, Dennis",Dennis Covington,Birmingham,#Null,Jefferson ,,"Birmingham, Jefferson ",,1948-PRESENT,,,,,,
"Covington, Vicki",Vicki Covington,Birmingham ,Tuscaloosa , Jefferson and Tuscaloosa ,"Birmingham, Jefferson; Tuscaloosa, Tuscaloosa ",Birmingham,,1952-PRESENT,,,,,,
"Davis, Rebecca Harding",Rebecca Harding Davis,Florence,#Null,Lauderdale,,,,1831-1910,,,,,,
"Deal, Babs H.",Babs H. Deal,Scottsboro,"Birmingham,Tuscaloosa, Gulf Shores, and Montgomery"," Jackson, Jefferson, Tuscaloosa, Baldwin, and  Montgomery ","Tuscaloosa, Tuscaloosa ",Scottsboro and Gulf Shores,"Montgomery,Montgomery",1929-2004,,,,,,
"Deal, Borden",Borden Deal,#Null,"Tuscaloosa, Mobile, and Scottsboro","Tuscaloosa, Mobile, and  Jackson ","Tuscaloosa, Tuscaloosa ","Tuscaloosa, Mobile, and Scottsboro",,1922-1985,,,,,,
"Dewberry, Elizabeth",Elizabeth Dewberry,Birmingham ,Tuscaloosa, Jefferson and Tuscaloosa,"Tuscaloosa, Tuscaloosa ",Birmingham,,1962-PRESENT,,,,,,
"Dorsey, Tim",Tim Dorsey,#Null,Auburn and Montgomery ,Lee and Montgomery,"Auburn, Lee ",Montgomery,,1961-PRESENT,,,,,,
"Ellison, Lucile Watkins",Lucile Watkins Ellison,Pennington,#Null,Choctaw,,,,1907-1979,,,,,,
export-authors_list_Dec-22-Geography_list 2,,,,,,,,,,,,,,
"Fellows, Alice",Alice Fellows,Tuscaloosa,#Null,Tuscaloosa,"Tuscaloosa, Tuscaloosa", Tuscaloosa,,1928-PRESENT,,,,,,
"Fenollosa, Mary McNeil",Mary McNeil Fenollosa,#null," Mobile, Spring Hill, and Montrose",Mobile and Baldwin,," Mobile, Spring Hill, and Montrose",,1865-1954,,,,,,
"Fields, Julia",Julia Fields,#null, Uniontown and Birmingham, Perry and  Jefferson ," Uniontown, Perry",Birmingham,,1938-PRESENT,,,,,,
"Finlay, John",John Finlay,Ozark,"Enterprise, Tuscaloosa, and Montevallo","Dale, Coffee, Tuscaloosa, and Shelby "," Tuscaloosa, Tuscaloosa ",Enterprise and Montevallo,,1941-1991,,,,,,
"Fitzgerald, Zelda",Zelda Fitzgerald,Montgomery,#Null,Montgomery,,Montgomery,,1900-1948,,,,,,
"Flagg, Fannie",Fannie Flagg,Irondale,"Tuscaloosa, Birmingham, and Fairhope","Jefferson, Tuscaloosa, Jefferson, Baldwin","Tuscaloosa, Tuscaloosa ",Birmingham and Fairhope,,1944-PRESENT,,,,,,
"Ford, Jesse Hill",Jesse Hill Ford,Troy,Jasper and Birmingham," Pike, Walker, and Jefferson ",,Birmingham,,1928-1996,,,,,,
"Francis, H.E.", H.E. Francis,#null,Huntsville,Madison ,,Huntsville,,1924-PRESENT,,,,,,
"Franklin, Tom",Tom Franklin,Dickinson,Mobile,Clarke and Mobile,"Mobile, Mobile ",Mobile,,1963-PRESENT,,,,,,
"Gaillard, Frye",Frye Gaillard,Mobile ,Mon Louis,Mobile,,Mon Louis,,1946-PRESENT,,,,,,
"Gaines, Charles",Charles Gaines,#Null,Birmingham,Jefferson ,"Birmingham, Jefferson ",Birmingham,,1942-PRESENT,,,,,,
"George, Anne",Anne George,Montgomery,"Calhoun, Marion, and Birmingham","Montgomery, Lowndes, Perry, and Jefferson"," Marion, Perry; Birmingham, Jefferson ",Birmingham,,1927-2001,,,,,,
"Ghigna, Charles",Charles Ghigna,#Null,Birmingham,Jefferson,,Birmingham,,1946-PRESENT,,,,,,
"Gibbons, Faye",Faye Gibbons,#Null,Auburn and Deatsville, Lee and Elmore ,"Auburn, Lee ",Deatsville,,1938-PRESENT,,,,,,
"Gilman, Rebecca",Rebecca Gilman,Trussville,Birmingham,Jefferson,"Birmingham, Jefferson ",,,1964-PRESENT,,,,,,
"Godwin, Gail",Gail Godwin,Birmingham,#Null,Jefferson,,,,1937-PRESENT,,,,,,
"Gosse, Philip Henry",Philip Henry Gosse,#Null,Pleasant Hill,Dallas,,,,1810-1888,,,,,,
"Grau, Shirley Ann",Shirley Ann Grau,#Null,Montgomery,Montgomery,,,,1929-2020,,,,,,
"Green, John",John Green,#Null,Indian Springs,Shelby ,,,,1977-PRESENT,need an alabama authors page,,,,,
"Greenhaw, Wayne",Wayne Greenhaw,Sheffield,"Trussville, Tuscaloosa, and Montgomery"," Colbert, Tuscaloosa, and Montgomery ","Tuscaloosa, Tuscaloosa ",Montgomery ,,1940-2011,,,,,,
"Groom, Winston",Winston Groom,#Null,"Mobile, Tuscaloosa, and Point Clear","Mobile, Tuscaloosa, and Baldwin ","Tuscaloosa, Tuscaloosa ", Tuscaloosa and Point Clear,,1943-2020,,,,,,
